Date,Dividend,Dividend Yield
"9月 05, 2025",0.28,2.21%
"6月 06, 2025",0.26,2.34%
"3月 07, 2025",0.26,2.51%
"12月 06, 2024",0.26,2.21%
"9月 06, 2024",0.26,2.59%
"6月 07, 2024",0.24,2.42%
"2月 29, 2024",0.24,2.80%
"11月 30, 2023",0.24,3.17%
"8月 31, 2023",0.24,3.31%
"6月 01, 2023",0.22,3.17%
"3月 02, 2023",0.22,2.58%
"12月 01, 2022",0.22,2.32%
"9月 01, 2022",0.22,2.62%
"6月 02, 2022",0.21,2.29%
"3月 03, 2022",0.21,1.95%
"12月 02, 2021",0.21,1.92%
"9月 02, 2021",0.21,2.04%
"6月 03, 2021",0.18,1.68%
"3月 04, 2021",0.18,1.98%
"12月 03, 2020",0.18,2.48%
"9月 03, 2020",0.18,2.77%
"6月 04, 2020",0.18,2.77%
"3月 05, 2020",0.18,2.54%
"12月 05, 2019",0.18,2.17%
"9月 05, 2019",0.18,2.62%
"6月 06, 2019",0.15,2.15%
"2月 28, 2019",0.15,2.03%
"12月 06, 2018",0.15,2.22%
"9月 06, 2018",0.15,1.92%
"5月 31, 2018",0.12,1.63%
"3月 01, 2018",0.12,1.50%
"11月 30, 2017",0.12,1.70%
"8月 30, 2017",0.12,2.04%
"5月 31, 2017",0.08,1.31%
"3月 01, 2017",0.08,1.22%
"11月 30, 2016",0.08,1.48%
"8月 31, 2016",0.08,1.85%
"6月 01, 2016",0.05,1.35%
"3月 02, 2016",0.05,1.52%
